================================================================================
Node ID    Type   Start  Finish  Delay  Res#  ASAP  ALAP  Mobility 
n145       ADD    41     42      1      4     41    46    5        
n149       MUL    41     43      2      3     41    46    5        
n152       ADD    41     42      1      1     41    47    6        
n136       MUL    42     44      2      4     42    42    0        
n139       ADD    42     43      1      5     42    45    3        
n141       ADD    42     43      1      -1    42    47    5        
n143       ADD    42     43      1      3     42    43    1        
n156       ADD    42     43      1      6     42    47    5        
n140       MUL    43     45      2      5     43    46    3        
n146       ADD    43     44      1      1     43    47    4        
n148       MUL    43     45      2      -1    43    46    3        
n155       ADD    43     44      1      2     43    48    5        
n158       ADD    43     44      1      4     43    48    5        
n170       ADD    43     44      1      7     43    50    7        
n144       MUL    44     46      2      6     44    44    0        
n174       ADD    44     45      1      -1    44    53    9        
n142       ADD    45     46      1      3     45    50    5        
n150       ADD    46     47      1      5     46    49    3        
n153       MUL    46     48      2      1     46    46    0        
n166       ADD    47     48      1      6     47    50    3        
n157       ADD    48     49      1      4     48    49    1        
n159       ADD    48     49      1      1     48    48    0        
n160       ADD    48     49      1      2     48    48    0        
n168       ADD    48     49      1      7     48    55    7        
n161       ADD    49     50      1      3     49    49    0        
n163       ADD    49     50      1      -1    49    49    0        
n164       MUL    49     51      2      7     49    55    6        
n167       MUL    49     51      2      2     49    50    1        
n179       ADD    49     50      1      5     49    56    7        
n184       ADD    49     50      1      6     49    56    7        
n162       ADD    50     51      1      2     50    50    0        
n165       ADD    50     51      1      1     50    50    0        
n173       ADD    50     51      1      7     50    52    2        
n178       ADD    50     51      1      4     50    51    1        
n169       ADD    51     52      1      -1    51    51    0        
n171       ADD    51     52      1      3     51    51    0        
n172       ADD    51     52      1      5     51    53    2        
n175       MUL    51     53      2      3     51    51    0        
n176       ADD    51     52      1      6     51    53    2        
n177       ADD    52     53      1      1     52    52    0        
n180       ADD    52     53      1      2     52    52    0        
n181       ADD    52     53      1      4     52    52    0        
n183       ADD    52     53      1      7     52    54    2        
n187       MUL    52     54      2      4     52    57    5        
n194       ADD    52     53      1      -1    52    59    7        
n182       ADD    53     54      1      3     53    53    0        
n186       ADD    53     54      1      1     53    60    7        
n188       MUL    53     55      2      -1    53    53    0        
n189       ADD    53     54      1      5     53    56    3        
n190       ADD    53     54      1      6     53    56    3        
n192       ADD    53     54      1      -1    53    57    4        
n203       MUL    53     55      2      5     53    55    2        
n185       ADD    54     55      1      2     54    54    0        
n191       ADD    54     55      1      7     54    59    5        
n195       MUL    54     56      2      6     54    56    2        
n196       ADD    54     55      1      4     54    57    3        
n200       MUL    54     56      2      1     54    57    3        
n193       MUL    55     57      2      7     55    58    3        
n197       MUL    55     57      2      3     55    63    8        
