================================================================================
Node ID    Type   Start  Finish  Delay  Res#  ASAP  ALAP  Mobility 
n141       ADD    37     38      1      5     37    37    0        
n145       ADD    37     38      1      4     37    37    0        
n148       ADD    37     38      1      1     37    49    12       
n149       ADD    37     38      1      6     37    40    3        
n155       ADD    37     38      1      7     37    40    3        
n143       ADD    38     39      1      2     38    41    3        
n144       MUL    38     40      2      4     38    38    0        
n146       MUL    38     40      2      3     38    38    0        
n150       ADD    38     39      1      3     38    43    5        
n151       ADD    38     39      1      -1    38    46    8        
n138       ADD    39     40      1      1     39    40    1        
n153       ADD    39     40      1      4     39    44    5        
n147       ADD    40     41      1      5     40    40    0        
n152       ADD    40     41      1      7     40    47    7        
n154       ADD    40     41      1      6     40    46    6        
n162       MUL    40     42      2      -1    40    48    8        
n156       ADD    41     42      1      -1    41    41    0        
n157       MUL    41     43      2      1     41    49    8        
n161       MUL    41     43      2      5     41    45    4        
n172       ADD    41     42      1      2     41    51    10       
n158       ADD    42     43      1      3     42    42    0        
n159       ADD    42     43      1      1     42    49    7        
n179       ADD    42     43      1      4     42    53    11       
n160       MUL    43     45      2      6     43    43    0        
n165       MUL    43     45      2      7     43    49    6        
n176       ADD    43     44      1      5     43    55    12       
n191       ADD    43     44      1      6     43    56    13       
n163       MUL    45     47      2      2     45    45    0        
n169       MUL    45     47      2      3     45    51    6        
n164       ADD    47     48      1      7     47    47    0        
n170       ADD    47     48      1      -1    47    53    6        
n166       MUL    48     50      2      4     48    48    0        
n171       ADD    48     49      1      2     48    54    6        
n167       ADD    50     51      1      1     50    50    0        
n168       ADD    50     51      1      3     50    50    0        
n174       MUL    50     52      2      -1    50    51    1        
n175       ADD    50     51      1      4     50    52    2        
n173       ADD    51     52      1      5     51    51    0        
n180       ADD    51     52      1      6     51    53    2        
n183       ADD    51     52      1      -1    51    55    4        
n177       MUL    52     54      2      1     52    52    0        
n181       ADD    52     53      1      7     52    53    1        
n182       ADD    52     53      1      2     52    56    4        
n186       ADD    52     53      1      1     52    56    4        
n185       ADD    53     54      1      3     53    54    1        
n187       MUL    53     55      2      5     53    57    4        
n178       MUL    54     56      2      6     54    54    0        
n184       ADD    54     55      1      -1    54    58    4        
n188       ADD    54     55      1      4     54    55    1        
n194       ADD    54     55      1      5     54    58    4        
n189       ADD    55     56      1      6     55    56    1        
n190       ADD    55     56      1      1     55    56    1        
n192       ADD    56     57      1      2     56    56    0        
n193       ADD    56     57      1      7     56    57    1        
n199       ADD    56     57      1      3     56    58    2        
n195       ADD    57     58      1      -1    57    57    0        
n197       ADD    57     58      1      4     57    58    1        
n198       ADD    57     58      1      5     57    58    1        
n196       ADD    58     59      1      1     58    58    0        
================================================================================
